dataSource,dateOfReport,reportNo,pageRef,actionPlan,actionPlanName,actionPlanProgram,implementingAgency,agencyName,programName,programAcronym,programName2,assistanceType,asOfDate,targetBudget,expendedAmount,beneficiaryTargetTotal,beneficiaryTotal,beneficaryCategoryOrig,beneficiaryTypeOrig,region,province,cityMunicipality,dswd,lgu,ngos,others,grandTotal,notes,notes2,index,agency,agencyCode,aidCategory,aidCategoryCode,aidType,assistanceType,agencyAllocated,value,shareOfTotalBudget,date,beneficiaryTargetValue,beneficiaryValue,beneficiaryCategory,beneficiaryType,shareOfPop,link,infoText
Report to the Joint Congressional Oversight Committee,4/20/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,4/16/20,1600000000,1188000000,321975,237653,workers,formal workers,,,,,,,,,,,32,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,348000000,0.2143,4/16/20,0,69712,workers,formal workers,no data,people-carry,
Report to the Joint Congressional Oversight Committee,4/27/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,4/23/20,1746000000,1724000000,349354,344805,workers,formal workers,,,,,,,,,,,33,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,536000000,0.3301,4/23/20,0,107152,workers,formal workers,no data,people-carry,
Report to the Joint Congressional Oversight Committee,4/27/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,4/23/20,1500000000,205000000,135720,20500,workers,OFWs,,,,,,,,,,,34,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,205000000,0.1262,4/23/20,0,20500,workers,overseas filipino workers,no data,people-carry,
Report to the Joint Congressional Oversight Committee,5/4/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,3247000000,2614000000,649354,522855,workers,formal workers,,,,,,,,,,,35,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,890000000,0.548,5/4/20,0,178050,workers,formal workers,no data,people-carry,
Report to the Joint Congressional Oversight Committee,5/4/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,1500000000,459000000,150000,44878,workers,OFWs,,,,,,,,,,,36,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,254000000,0.1564,5/4/20,0,24378,workers,overseas filipino workers,no data,people-carry,
Report to the Joint Congressional Oversight Committee,5/11/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,3247000000,3013000000,649354,602722,workers,formal workers,,,,,,,,,,,37,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,399000000,0.2457,5/11/20,0,79867,workers,formal workers,no data,people-carry,
Report to the Joint Congressional Oversight Committee,5/11/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,1500000000,750000000,150000,72352,workers,OFWs,,,,,,,,,,,38,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,291000000,0.1792,5/11/20,0,27474,workers,overseas filipino workers,no data,people-carry,
Report to the Joint Congressional Oversight Committee,5/18/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,3286000000,3247000000,657201,649573,workers,formal workers,,,,,,,,,,,39,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,234000000,0.1441,5/18/20,0,46851,workers,formal workers,no data,people-carry,
Report to the Joint Congressional Oversight Committee,5/18/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,1500000000,1167000000,150000,104574,workers,OFWs,,,,,,,,,,,40,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,417000000,0.2568,5/18/20,0,32222,workers,overseas filipino workers,no data,people-carry,
Report to the Joint Congressional Oversight Committee,5/25/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,3286000000,3286000000,657201,657201,workers,formal workers,,,,,,,,,,,41,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,3286000000,39000000,0.024,5/25/20,657201,7628,workers,formal workers,no data,people-carry,
Report to the Joint Congressional Oversight Committee,5/25/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,2500000000,1254000000,250000,122910,workers,OFWs,,,,,,,,,"additional P1 billion budget approved for the additional 100,000 beneficiaries",,42,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,2500000000,87000000,0.0536,5/25/20,250000,18336,workers,overseas filipino workers,no data,people-carry,
Report to the Joint Congressional Oversight Committee,6/1/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,2500000000,1316000000,250000,128538,workers,OFWs,,,,,,,,,"additional P1 billion budget approved for the additional 100,000 beneficiaries",,43,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,62000000,0.0382,6/1/20,0,5628,workers,overseas filipino workers,no data,people-carry,
Report to the Joint Congressional Oversight Committee,6/8/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,2500000000,1452000000,250000,142039,workers,OFWs,,,,,,,,,"additional P1 billion budget approved for the additional 100,000 beneficiaries",,44,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,136000000,0.0837,6/8/20,0,13501,workers,overseas filipino workers,no data,people-carry,
Report to the Joint Congressional Oversight Committee,6/15/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,2500000000,1568000000,250000,153322,workers,OFWs,,,,,,,,,"additional P1 billion budget approved for the additional 100,000 beneficiaries",,45,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,116000000,0.0714,6/15/20,0,11283,workers,overseas filipino workers,no data,people-carry,
